order_id,order_date,ship_mode,segment,country,city,state,postal_code,region,category,sub_category,product_id,cost_price,list_price,quantity,discount_percent,year,month,day,sell_price,revenue,cost,profit,discount
1,2023-03-01,Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,FUR-BO-10001798,240,260,2,0.0394,2023,3,1,249.756,499.512,480,19.512,19.6807728
2,2023-08-15,Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,FUR-CH-10000454,600,730,3,0.0591,2023,8,15,686.857,2060.571,1800,260.5709999999999,121.7797461
3,2023-01-10,Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,OFF-LA-10000240,10,10,2,0.0985,2023,1,10,9.015,18.03,20,-1.9699999999999989,1.7759550000000002
4,2022-06-18,Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,FUR-TA-10000577,780,960,5,0.0394,2022,6,18,922.176,4610.88,3900,710.8800000000001,181.668672
5,2022-07-13,Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,OFF-ST-10000760,20,20,2,0.0985,2022,7,13,18.03,36.06,40,-3.9399999999999977,3.5519100000000003
7,2022-12-28,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,OFF-AR-10002833,10,10,4,0.0591,2022,12,28,9.408999999999999,37.635999999999996,40,-2.3640000000000043,2.2242876
8,2022-01-25,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,TEC-PH-10002275,860,910,6,0.0985,2022,1,25,820.365,4922.1900000000005,5160,-237.8099999999995,484.83571500000005
10,2023-05-16,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,OFF-AP-10002892,90,110,5,0.0591,2023,5,16,103.499,517.495,450,67.495,30.5839545
13,2022-02-11,Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,OFF-PA-10002365,20,20,3,0.0591,2022,2,11,18.817999999999998,56.45399999999999,60,-3.5460000000000065,3.3364313999999995
14,2023-07-18,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,OFF-BI-10003656,360,410,3,0.0394,2023,7,18,393.846,1181.538,1080,101.53800000000001,46.5525972
16,2022-06-18,Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,OFF-BI-10000756,0,0,3,0.0985,2022,6,18,0.0,0.0,0,0.0,0.0
17,2022-02-04,Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,OFF-ST-10004186,610,670,6,0.0591,2022,2,4,630.403,3782.418,3660,122.41800000000012,223.5409038
18,2023-08-04,Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,OFF-ST-10000107,60,60,2,0.0788,2023,8,4,55.272,110.544,120,-9.456000000000003,8.7108672
19,2022-01-23,Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,OFF-AR-10003056,10,10,2,0.0788,2022,1,23,9.212,18.424,20,-1.5760000000000005,1.4518111999999999
20,2022-01-11,Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,TEC-PH-10001949,170,210,3,0.0591,2022,1,11,197.589,592.767,510,82.76700000000005,35.032529700000005
21,2022-10-05,Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,OFF-BI-10002215,20,20,4,0.0394,2022,10,5,19.212,76.848,80,-3.152000000000001,3.0278112
22,2023-07-16,Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,OFF-AR-10000246,20,20,7,0.0788,2023,7,16,18.424,128.968,140,-11.03200000000001,10.162678399999999
23,2023-05-06,Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,OFF-AP-10001492,50,60,7,0.0591,2023,5,6,56.454,395.178,350,45.178,23.3550198
24,2023-05-21,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,FUR-CH-10002774,60,70,2,0.0788,2023,5,21,64.484,128.968,120,8.96799999999999,10.162678399999999
25,2023-02-24,Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,FUR-TA-10000577,900,1040,3,0.0985,2023,2,24,937.56,2812.68,2700,112.67999999999984,277.04898
26,2022-06-20,Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,OFF-BI-10001634,10,10,2,0.0985,2022,6,20,9.015,18.03,20,-1.9699999999999989,1.7759550000000002
27,2022-02-08,Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,TEC-AC-10003027,80,90,3,0.0591,2022,2,8,84.681,254.043,240,14.043000000000006,15.0139413
28,2023-12-11,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,FUR-BO-10004834,2740,3080,7,0.0591,2023,12,11,2897.9719999999998,20285.803999999996,19180,1105.8039999999964,1198.8910164
29,2022-08-21,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,OFF-BI-10000474,10,10,2,0.0985,2022,8,21,9.015,18.03,20,-1.9699999999999989,1.7759550000000002
30,2022-08-14,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,FUR-FU-10004848,100,120,3,0.0788,2022,8,14,110.544,331.632,300,31.632000000000005,26.132601599999997
31,2022-11-20,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,OFF-EN-10001509,0,0,2,0.0985,2022,11,20,0.0,0.0,0,0.0,0.0
32,2023-01-19,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,OFF-AR-10004042,70,90,6,0.0788,2023,1,19,82.908,497.448,420,77.44799999999998,39.198902399999994
33,2023-01-30,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,OFF-BI-10001525,10,10,6,0.0985,2023,1,30,9.015,54.09,60,-5.909999999999997,5.327865000000001
34,2022-06-03,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,OFF-AR-10001683,20,20,2,0.0788,2022,6,3,18.424,36.848,40,-3.152000000000001,2.9036223999999997
35,2022-09-28,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,OFF-PA-10000249,30,30,3,0.0591,2022,9,28,28.227,84.681,90,-5.319000000000003,5.0046471
36,2022-10-30,First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,TEC-PH-10004977,1020,1100,7,0.0985,2022,10,30,991.65,6941.55,7140,-198.44999999999982,683.7426750000001
37,2023-07-27,First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,FUR-FU-10003664,180,190,5,0.0788,2023,7,27,175.028,875.14,900,-24.860000000000014,68.96103199999999
38,2023-03-07,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,OFF-EN-10002986,90,110,9,0.0394,2023,3,7,105.666,950.9939999999999,810,140.99399999999991,37.469163599999995
39,2023-08-18,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,FUR-BO-10002545,460,530,3,0.0394,2023,8,18,509.118,1527.354,1380,147.35400000000004,60.1777476
40,2022-01-20,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,FUR-CH-10004218,200,210,3,0.0394,2022,1,20,201.726,605.178,600,5.177999999999997,23.8440132
41,2023-06-29,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,TEC-PH-10000486,350,370,4,0.0985,2023,6,29,333.555,1334.22,1400,-65.77999999999997,131.42067
42,2022-06-28,Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,TEC-PH-10004093,140,150,4,0.0591,2022,6,28,141.135,564.54,560,4.539999999999964,33.364314
43,2023-02-09,Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,OFF-ST-10003479,70,80,2,0.0985,2023,2,9,72.12,144.24,140,4.240000000000009,14.207640000000001
44,2023-09-18,Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,OFF-ST-10003282,90,100,2,0.0788,2023,9,18,92.12,184.24,180,4.240000000000009,14.518112
45,2022-11-11,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,TEC-AC-10000171,40,50,2,0.0394,2022,11,11,48.03,96.06,80,16.060000000000002,3.784764
